symbol,token_address,coingecko_id,always_watch,exchange,borsa
ZCN,0xb9ef770b6a5e12e45983c5d80545258aa38f3b78,0chain,False,"binance,gate",binance
0DOG,0xaa6624d7363ef8284aa8ce4e18146ded5f421b2c,0dog,False,"binance,gate",binance
0KN,0x4594cffbfc09bc5e7ecf1c2e1c1e24f0f7d29036,0-knowledge-network,False,"binance,gate",binance
OME,0xbd89b8d708809e7022135313683663911826977e,0-mee,False,"binance,gate",binance
ZRX,0xe41d2489571d322189246dafa5ebde1f4699f498,0x,False,"binance,gate",binance
0X0,0x5a3e6a77ba2f983ec0d371ea3b475f8bc0811ad5,0x0-ai-ai-smart-contract,False,"binance,gate",binance
WOLF,0x67859a9314b9dca2642023ad8231beaa6cbf1933,0x678-landwolf-1933,False,"binance,gate",binance
COCO,0xcb50350ab555ed5d56265e096288536e8cac41eb,0xcoco,False,"binance,gate",binance
0XGAS,0x5fc111f3fa4c6b32eaf65659cfebdeed57234069,0xgasless-2,False,"binance,gate",binance
XGN,0x683c8e87e74f3f8f27c0d2ebd4350fe4dba814ef,0xgen,False,"binance,gate",binance
OXL,0x03ee5026c07d85ff8ae791370dd0f4c1ae6c97fc,0x-leverage,False,"binance,gate",binance
OPENLI,0xfa955ec865f51c55e3b6ce02528a6844c2eb9c26,0xlp,False,"binance,gate",binance
OXN,0x9012744b7a564623b6c3e40b144fc196bdedf1a9,0xnumber,False,"binance,gate",binance
0XP,0x46b7cb31a4a6375c69a6d0b9ed9261fb649adb83,0xprivacy,False,"binance,gate",binance
SCAN,0x10703ca5e253306e2ababd68e963198be8887c81,0xscans,False,"binance,gate",binance
1984,0x4278a8944cf63753b13e9f726bbc1192412988d8,1984-token,False,"binance,gate",binance
1ART,0xd3c325848d7c6e29b574cb0789998b2ff901f17e,1art,False,"binance,gate",binance
1EX,0x668d78571f124415581b38d32fa9a16f1aaa8417,1ex,False,"binance,gate",binance
1INCH,0x111111111117dc0aa78b770fa6a738034120c302,1inch,False,"binance,gate",binance
YV1INCH,0xb8c3b7a2a618c552c23b1e4701109a9e756bab67,1inch-yvault,False,"binance,gate",binance
1MIL,0xa4ef4b0b23c1fc81d3f9ecf93510e64f58a4a016,1million-nfts,False,"binance,gate",binance
1SOL,0x009178997aff09a67d4caccfeb897fb79d036214,1sol,False,"binance,gate",binance
2DAI,0xb44b653f147569d88a684cbf6549e1968e8b2a1d,2dai-io,False,"binance,gate",binance
MEOW,0x77be1ba1cd2d7a63bffc772d361168cc327dd8bc,-3,False,"binance,gate",binance
A3A,0x3f817b28da4940f018c6b5c0a11c555ebb1264f9,3a-lending-protocol,False,"binance,gate",binance
PACE,0x8bc2bcb1b1896291942c36f3cca3c1afa0aaa7fd,3space-art,False,"binance,gate",binance
TRUMP47,0x535887989b9edffb63b1fd5c6b99a4d45443b49a,47th-potus,False,"binance,gate",binance
4CHAN,0xe0a458bf4acf353cb45e211281a334bb1d837885,4chan,False,"binance,gate",binance
4EVER,0xe355de6a6043b0580ff5a26b46051a4809b12793,4everland,False,"binance,gate",binance
5IRE,0x3bd7d4f524d09f4e331577247a048d56e4b67a7f,5ire,False,"binance,gate",binance
69420,0x69cbaf6c147086c3c234385556f8a0c6488d3420,69420,False,"binance,gate",binance
MPH,0x8888801af4d980682e47f1a9036e589479e835c5,88mph,False,"binance,gate",binance
8PAY,0x06ddb3a8bc0abc14f85e974cf1a93a6f8d4909d9,8pay,False,"binance,gate",binance
99BTC,0xc2eb40516ecaac04ae9964934983d1e9ebdf51fd,99-bitcoins,False,"binance,gate",binance
STZ,0x3f5294df68f871241c4b18fcf78ebd8ac18ab654,99starz,False,"binance,gate",binance
AAG,0x5ba19d656b65f1684cfea4af428c23b9f3628f97,aag-ventures,False,"binance,gate",binance
AAVE,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,aave,False,"binance,gate",binance
AAAVE,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,aave-aave,False,"binance,gate",binance
AAMMBPTBALWETH,0xd109b2a304587569c84308c55465cd9ff0317bfb,aave-amm-bptbalweth,False,"binance,gate",binance
AAMMBPTWBTCWETH,0x358bd0d980e031e23eba9aa793926857703783bd,aave-amm-bptwbtcweth,False,"binance,gate",binance
AAMMDAI,0x79be75ffc64dd58e66787e4eae470c8a1fd08ba4,aave-amm-dai,False,"binance,gate",binance
AAMMUNIAAVEWETH,0xe59d2ff6995a926a574390824a657eed36801e55,aave-amm-uniaaveweth,False,"binance,gate",binance
AAMMUNIBATWETH,0xa1b0edf4460cc4d8bfaa18ed871bff15e5b57eb4,aave-amm-unibatweth,False,"binance,gate",binance
